"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"MAG15_12_65" 100.283542437716 -0.385221407638388 0.165641884683142 -2.32447158804188 0.020100232617004 0.999926149255111
"MAG15_83_25" 13.9539604963237 -0.384054811716562 0.182641203033261 -2.10061612103013 0.0356746777394497 0.999926149255111
"MAG15_54_14" 322.716162197425 -0.383657214359026 0.135603008812987 -2.82865014061415 0.00467447690715795 0.583814441684793
"MAG15_75_3" 40.1319818758382 -0.383001237114271 0.189519164547944 -2.01921738732997 0.0434646299116605 0.999926149255111
"MAG15_53_4" 24.5509920890871 -0.378378646783521 0.189746563713069 -1.99782728935862 0.0457353876925258 0.999926149255111
"MAG15_159_1" 37.6149917280254 -0.377240740701885 0.188291233089106 -2.00259098643181 0.0452212081397695 0.999926149255111
"MAG15_74_19" 45.2233404124586 -0.376711013366033 0.18567815158107 -2.0284113764923 0.0425182799657466 0.999926149255111
"MAG15_100_21" 64.4699768083584 -0.374949267130135 0.181539997325207 -2.06446575936875 0.0389735771519022 0.999926149255111
"MAG15_160_5" 17.6637631353771 -0.374888719449008 0.1877381650603 -1.99560798977518 0.0459766091727095 0.999926149255111
"MAG15_119_2" 37.4523686544269 -0.374273665017674 0.189165012819501 -1.97687116166305 0.0480561953196557 0.999926149255111
"GCA_003417435.1_QVMX01000002.1_334" 5.49968169724956 -0.374217497901788 0.143879570460925 -2.65801504148057 0.00786023848355885 0.777693339193823
"GCA_003417435.1_QVMX01000002.1_760" 13.0214835235618 -0.373367041911829 0.181493124213835 -2.05630251815306 0.039753365734632 0.999926149255111
"MAG15_59_17" 38.883104524828 -0.372838299939818 0.188029153935548 -1.98063679278852 0.047632019739139 0.999926149255111
"MAG15_4_39" 36.0479220403659 -0.372115392974088 0.189835771890198 -1.95551412945567 0.0505224172960199 0.999926149255111
"MAG15_273_2" 12.1496875768428 -0.370840051621236 0.17114881593839 -2.19088378841788 0.0284602031786197 0.999926149255111
"MAG15_65_1" 24.9576742866507 -0.370436180090799 0.190463605540163 -1.94157928602627 0.0521880525168127 0.999926149255111
"GCA_000046845.1_CR543861.1_3105" 478.097334969177 -0.369257131215322 0.165305667543761 -2.23355310264898 0.0255124925918144 0.999926149255111
"MAG15_15_23" 314.674985246472 -0.368965974731238 0.178188847309072 -2.07003761480616 0.0384488221434655 0.999926149255111
"MAG15_15_27" 323.201506988737 -0.368611370569917 0.14111181649943 -2.61152389635638 0.00901396880599486 0.791676009063123
"MAG15_5_9" 78.4491497792867 -0.366291177598461 0.173533527101398 -2.10872476066601 0.0349683462883982 0.999926149255111
"GCA_003417435.1_QVMX01000001.1_763" 5.98514467933976 -0.365786337607594 0.151248454731629 -2.45756405183843 0.0139882863707412 0.971641683135944
"GCA_003417435.1_QVMX01000004.1_90" 14.7517542997228 -0.365779210642959 0.180000840904597 -2.03798104888205 0.0415518281561702 0.999926149255111
"GCA_000046845.1_CR543861.1_633" 72.2546901808767 -0.364828628065381 0.183776781695244 -1.98348108975486 0.047313717294294 0.999926149255111
"GCA_002370525.2_AP014630.1_897" 46.1862468683071 -0.364369896614262 0.186983563109312 -1.94552051834595 0.0517123626704086 0.999926149255111
"MAG15_39_8" 32.5913858846275 -0.362487620927004 0.189383617442374 -1.91137967565917 0.055955806634905 0.999926149255111
"GCA_003417435.1_QVMX01000002.1_744" 4.6480296554137 -0.362185520774098 0.129859657524713 -2.86214525471346 0.00420784013533923 NA
"GCA_003417435.1_QVMX01000003.1_67" 8.49404613910549 -0.359540622552315 0.165502787897767 -2.1843464931835 0.0289367967959172 0.999926149255111
